"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"cci","EQ_DHS","PUBLISHED","2006","SEAR","NPL","URB","70.7","70.71564","","",""
"cci","EQ_MICS","PUBLISHED","2013","AMR","PAN","URB","84.5","84.49894","","",""
"cci","EQ_DHS","PUBLISHED","2004","AFR","TCD","URB","46.2","46.21424","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","TGO","RUR","51.7","51.72591","","",""
"cci","EQ_DHS","PUBLISHED","2013","AFR","ZMB","URB","83.6","83.56764","","",""
"cci","EQ_MICS","PUBLISHED","2005","EUR","ALB","RUR","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2011","AMR","ARG","URB","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2012","EUR","BLR","RUR","No data","","","","Not calculated."
"cci","EQ_MICS","PUBLISHED","2012","AMR","BRB","RUR","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","1997","SEAR","IDN","RUR","66.9","66.91691","","",""
"cci","EQ_DHS","PUBLISHED","2002","SEAR","IDN","RUR","69.0","68.95114","","",""
"cci","EQ_DHS","PUBLISHED","1997","EUR","KGZ","RUR","73.4","73.44431","","",""
"cci","EQ_DHS","PUBLISHED","2014","WPR","KHM","RUR","79.6","79.59650","","",""
"cci","EQ_DHS","PUBLISHED","2006","AMR","PER","URB","86.3","86.32663","","",""
"cci","EQ_DHS","PUBLISHED","2011","AMR","PER","URB","87.3","87.26126","","",""
"cci","EQ_MICS","PUBLISHED","2006","AMR","TTO","URB","No data","","","","Not available."
"cci","EQ_DHS","PUBLISHED","1996","AFR","TZA","RUR","55.9","55.87626","","",""
"cci","EQ_MICS","PUBLISHED","2011","EUR","BIH","URB","86.4","86.43043","","",""
"cci","EQ_MICS","PUBLISHED","2012","EUR","BLR","URB","No data","","","","Not calculated."
"cci","EQ_DHS","PUBLISHED","2004","AFR","CMR","RUR","51.5","51.51471","","",""
"cci","EQ_DHS","PUBLISHED","2011","AFR","CMR","RUR","50.3","50.26374","","",""
"cci","EQ_DHS","PUBLISHED","1997","EMR","JOR","URB","78.5","78.45766","","",""
